"sex","wing_area_cm2"
"Male",32.1388409978253
"Male",37.7066087465416
"Male",36.4215243399053
"Male",29.706669467973
"Male",32.2747841322046
"Male",32.8750872776182
"Male",36.6320113269896
"Male",32.4639585536285
"Male",33.9795825959904
"Male",31.771308848227
"Male",32.2449131052081
"Male",32.5513784766167
"Male",33.1940866554892
"Male",32.8872893233656
"Male",31.8371455228107
"Male",33.9379262331635
"Male",35.1952202142826
"Male",37.3649562199751
"Male",32.2553556391892
"Male",38.1305215735036
"Male",33.3467818352252
"Male",35.7284831042396
"Male",34.8604931648162
"Male",33.1404131409058
"Male",36.4339589155959
"Male",35.7073172866994
"Male",35.0717079387347
"Male",34.6244439257039
"Male",34.812453140824
"Male",33.3532132946068
"Male",34.9384939373738
"Male",33.6351369342797
"Male",37.3923878128963
"Male",33.0910743495099
"Male",28.2784206388122
"Male",34.1909650173492
"Male",36.6394467899119
"Male",30.5385784666024
"Male",33.8792819482829
"Male",33.4113779506926
"Male",34.7261204366301
"Male",30.1967027700708
"Male",31.9813434969776
"Male",31.0489739533954
"Male",34.8313282474418
"Male",37.3945705759537
"Male",32.9185986797408
"Female",33.852810969685
"Female",31.9538493367321
"Female",35.1804461102729
"Female",35.0489460863305
"Female",31.6532801635704
"Female",34.8446430621212
"Female",32.8662354985757
"Female",34.5355165803233
"Female",34.7101694712331
"Female",36.9131491267474
"Female",30.6806739418495
"Female",31.1351639661064
"Female",34.1658491808547
"Female",32.3873115640918
"Female",29.1046121555937
"Female",31.4369857299199
"Female",35.006042463517
"Female",34.1020088365958
"Female",31.6047045682172
"Female",30.9870715167367
"Female",32.0470434909148
"Female",34.9703194979934
"Female",32.6164347226318
"Female",28.3710840767082
"Female",34.1374680053526
"Female",30.8158018790119
"Female",34.2497099038265
"Female",32.7204359613121
"Female",31.9684893049615
"Female",30.6652190457539
"Female",32.0365991918519
"Female",30.932239331525
"Female",35.4938817077561
"Female",33.9146027471825
"Female",33.4159606130216
"Female",31.6300692570335
"Female",37.059276724514
"Female",30.9895405612647
"Female",32.9820125058405
"Female",34.8634963784289
"Female",35.8834809501024
"Female",28.7840999629715
"Female",29.3791104977235
"Female",31.2474235057115
"Female",34.32035815566
